"","ny_grk","gammel_grk","fra_aar","til_aar"
"78","03010900","03010904","2020-01-01","2025-01-01"
"79","03010900","03010905","2020-01-01","2025-01-01"
"80","03010900","03010906","2020-01-01","2025-01-01"
"81","03010900","03010907","2020-01-01","2025-01-01"
"82","03010900","03010908","2020-01-01","2025-01-01"
"83","03010900","03010909","2020-01-01","2025-01-01"
"84","03010900","03010910","2020-01-01","2025-01-01"
"85","03010900","03010911","2020-01-01","2025-01-01"
"86","03010900","03010912","2020-01-01","2025-01-01"
"87","03010900","03010913","2020-01-01","2025-01-01"
"88",NA,"03011000","2020-01-01","2025-01-01"
"89","03011000","03011001","2020-01-01","2025-01-01"
"90",NA,"03011100","2020-01-01","2025-01-01"
"91","03011100","03011101","2020-01-01","2025-01-01"
"92","03011100","03011102","2020-01-01","2025-01-01"
"93","03011100","03011103","2020-01-01","2025-01-01"
"94","03011100","03011104","2020-01-01","2025-01-01"
"95","03011100","03011105","2020-01-01","2025-01-01"
"96","03011100","03011106","2020-01-01","2025-01-01"
"97",NA,"03011200","2020-01-01","2025-01-01"
"98","03011200","03011201","2020-01-01","2025-01-01"
"99","03011200","03011202","2020-01-01","2025-01-01"
"100","03011200","03011203","2020-01-01","2025-01-01"
"101","03011200","03011204","2020-01-01","2025-01-01"
"102","03011200","03011205","2020-01-01","2025-01-01"
"103","03011200","03011206","2020-01-01","2025-01-01"
"104","03011200","03011207","2020-01-01","2025-01-01"
"105","03011200","03011208","2020-01-01","2025-01-01"
"106","03011200","03011209","2020-01-01","2025-01-01"
"107","03011200","03011210","2020-01-01","2025-01-01"
"108","03011200","03011211","2020-01-01","2025-01-01"
"109",NA,"03011300","2020-01-01","2025-01-01"
"110","03011300","03011301","2020-01-01","2025-01-01"
"111","03011300","03011302","2020-01-01","2025-01-01"
"112","03011300","03011303","2020-01-01","2025-01-01"
"113","03011300","03011304","2020-01-01","2025-01-01"
"114","03011300","03011305","2020-01-01","2025-01-01"
"115",NA,"03011400","2020-01-01","2025-01-01"
"116","03011400","03011401","2020-01-01","2025-01-01"
"117","03011400","03011402","2020-01-01","2025-01-01"
"118","03011400","03011403","2020-01-01","2025-01-01"
"119","03011400","03011404","2020-01-01","2025-01-01"
"120","03011400","03011405","2020-01-01","2025-01-01"
"121","03011400","03011406","2020-01-01","2025-01-01"
"122",NA,"03011500","2020-01-01","2025-01-01"
"123","03011500","03011501","2020-01-01","2025-01-01"
"124","03011500","03011502","2020-01-01","2025-01-01"
"125","03011500","03011503","2020-01-01","2025-01-01"
"126","03011500","03011504","2020-01-01","2025-01-01"
"127",NA,"03011600","2020-01-01","2025-01-01"
"128","03011600","03011601","2020-01-01","2025-01-01"
"129","03011600","03011602","2020-01-01","2025-01-01"
"130","03011600","03011603","2020-01-01","2025-01-01"
"131","03011600","03011604","2020-01-01","2025-01-01"
"132","03011600","03011605","2020-01-01","2025-01-01"
"133","03011600","03011606","2020-01-01","2025-01-01"
"134","03011600","03011607","2020-01-01","2025-01-01"
"135",NA,"03011700","2020-01-01","2025-01-01"
"136","03011700","03011701","2020-01-01","2025-01-01"
"137","03011700","03011702","2020-01-01","2025-01-01"
"138","03011700","03011703","2020-01-01","2025-01-01"
"139","03011700","03011704","2020-01-01","2025-01-01"
"140","03011700","03011705","2020-01-01","2025-01-01"
"141","03011700","03011706","2020-01-01","2025-01-01"
"142","03011700","03011707","2020-01-01","2025-01-01"
"143","03011700","03011708","2020-01-01","2025-01-01"
"144","03011700","03011709","2020-01-01","2025-01-01"
"145",NA,"03011800","2020-01-01","2025-01-01"
"146","03011800","03011801","2020-01-01","2025-01-01"
"147","03011800","03011803","2020-01-01","2025-01-01"
"148","03011800","03011804","2020-01-01","2025-01-01"
"149",NA,"03011900","2020-01-01","2025-01-01"
"150","03011900","03011901","2020-01-01","2025-01-01"
"151","03011900","03011902","2020-01-01","2025-01-01"
"152","03011900","03011903","2020-01-01","2025-01-01"
"153","03011900","03011904","2020-01-01","2025-01-01"
"154","03011900","03011906","2020-01-01","2025-01-01"
"155","03011900","03011907","2020-01-01","2025-01-01"
"156","03011900","03011908","2020-01-01","2025-01-01"
"157","03011900","03011909","2020-01-01","2025-01-01"
"158","03011900","03011910","2020-01-01","2025-01-01"
"159",NA,"03012000","2020-01-01","2025-01-01"
"160","03012000","03012001","2020-01-01","2025-01-01"
"161","03012000","03012002","2020-01-01","2025-01-01"
